,schoolshort,studentid,gradelevelduringadminyear,ell,lunch_recode,sped_recode,ethnicity_recode,pre_score,lexilelevel,interim_score
0,BLOOMFIELD,455857,12.0,EL,Free/Reduced,Special Education,Hispanic or Latino,385.0,foundational_reader,450.0
1,BLOOMFIELD,455869,12.0,IFEP,Free/Reduced,Special Education,Hispanic or Latino,975.0,below_gl_4_6_yrs,955.0
2,BLOOMFIELD,455893,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1205.0,grade_level,1225.0
3,BLOOMFIELD,455917,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,915.0,between_6_yrs_fr,1005.0
4,COLLINS,455929,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,650.0,between_6_yrs_fr,690.0
5,BLOOMFIELD,455941,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,890.0,between_6_yrs_fr,980.0
6,BLOOMFIELD,455953,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1315.0,college_ready,1375.0
7,BLOOMFIELD,455977,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,720.0,between_6_yrs_fr,800.0
8,BLOOMFIELD,455989,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1070.0,below_gl_1_3_yrs,1125.0
9,BLOOMFIELD,456001,12.0,RFEP,Paid,Special Education,Hispanic or Latino,860.0,between_6_yrs_fr,870.0
10,BLOOMFIELD,456013,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1180.0,below_gl_1_3_yrs,1215.0
11,BLOOMFIELD,456025,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1180.0,below_gl_1_3_yrs,1275.0
12,BLOOMFIELD,456037,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1000.0,below_gl_4_6_yrs,995.0
13,BLOOMFIELD,456049,12.0,RFEP,Free/Reduced,Special Education,Hispanic or Latino,1385.0,college_ready,1385.0
14,BLOOMFIELD,456061,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1015.0,below_gl_4_6_yrs,1150.0
15,BLOOMFIELD,456073,12.0,RFEP,Free/Reduced,Special Education,Hispanic or Latino,1280.0,grade_level,1385.0
16,BLOOMFIELD,456085,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1195.0,grade_level,1150.0
17,BLOOMFIELD,456097,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,840.0,between_6_yrs_fr,890.0
18,BLOOMFIELD,456109,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1035.0,below_gl_4_6_yrs,990.0
19,BLOOMFIELD,456121,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1185.0,grade_level,1175.0
20,BLOOMFIELD,456157,12.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,875.0,between_6_yrs_fr,865.0
21,BLOOMFIELD,456169,12.0,IFEP,Paid,Non-Special Education,Hispanic or Latino,1160.0,below_gl_1_3_yrs,1115.0
22,BLOOMFIELD,456205,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,685.0,between_6_yrs_fr,645.0
23,BLOOMFIELD,456217,12.0,RFEP,Paid,Non-Special Education,Hispanic or Latino,850.0,between_6_yrs_fr,910.0
24,BLOOMFIELD,456229,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,980.0,below_gl_4_6_yrs,1015.0
25,BLOOMFIELD,456241,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1280.0,grade_level,1280.0
26,BLOOMFIELD,456253,12.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,790.0,between_6_yrs_fr,885.0
27,BLOOMFIELD,456265,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1135.0,below_gl_1_3_yrs,1115.0
28,BURTON,456301,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1100.0,below_gl_1_3_yrs,1170.0
29,TENNENBAUM,456325,12.0,RFEP,Free/Reduced,Special Education,Hispanic or Latino,770.0,between_6_yrs_fr,805.0
30,OUCHI,456349,9.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1080.0,grade_level,1140.0
31,TENNENBAUM,456433,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1125.0,below_gl_1_3_yrs,1180.0
32,TENNENBAUM,456445,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1305.0,college_ready,1365.0
33,TENNENBAUM,456469,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1135.0,below_gl_1_3_yrs,1160.0
34,TENNENBAUM,456481,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1060.0,below_gl_1_3_yrs,935.0
35,BURTON,456625,9.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,875.0,below_gl_4_6_yrs,940.0
36,BURTON,456637,9.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,790.0,below_gl_4_6_yrs,775.0
37,SMASS,460225,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,990.0,below_gl_4_6_yrs,1055.0
38,SMASS,460237,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1455.0,college_ready,1465.0
39,SMASS,460249,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,875.0,between_6_yrs_fr,900.0
40,SMASS,460261,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,980.0,below_gl_4_6_yrs,1050.0
41,SMASS,460273,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1150.0,below_gl_1_3_yrs,1150.0
42,SMASS,460285,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1040.0,below_gl_4_6_yrs,1090.0
43,SMASS,460309,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,980.0,below_gl_4_6_yrs,1070.0
44,SMASS,460321,12.0,EO,Paid,Non-Special Education,Hispanic or Latino,1455.0,college_ready,1510.0
45,SMASS,460333,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,905.0,between_6_yrs_fr,900.0
46,SMASS,460357,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1125.0,below_gl_1_3_yrs,1195.0
47,SMASS,460393,12.0,EO,Paid,Non-Special Education,Hispanic or Latino,1210.0,grade_level,1260.0
48,SMASS,460405,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1115.0,below_gl_1_3_yrs,955.0
49,SMASS,460417,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,990.0,below_gl_4_6_yrs,1050.0
50,SMASS,460429,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1265.0,grade_level,1355.0
51,SMASS,460453,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,850.0,between_6_yrs_fr,870.0
52,SMASS,460477,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1520.0,college_ready,1575.0
53,SMASS,460489,12.0,RFEP,Paid,Non-Special Education,Hispanic or Latino,1240.0,grade_level,1250.0
54,SMASS,460501,12.0,RFEP,Paid,Special Education,Hispanic or Latino,1000.0,below_gl_4_6_yrs,1015.0
55,SMASS,460513,12.0,RFEP,Paid,Non-Special Education,Hispanic or Latino,1175.0,below_gl_1_3_yrs,<built-in function zeros>
56,SMASS,460525,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1315.0,college_ready,1370.0
57,SMASS,463729,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1130.0,below_gl_1_3_yrs,1240.0
58,SMASS,463741,12.0,RFEP,Free/Reduced,Special Education,Hispanic or Latino,1025.0,below_gl_4_6_yrs,1065.0
59,SMASS,463753,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,765.0,between_6_yrs_fr,865.0
60,SMASS,463765,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1005.0,below_gl_4_6_yrs,1035.0
61,SMASS,463777,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1370.0,college_ready,1330.0
62,SMASS,463789,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1285.0,grade_level,1315.0
63,SMASS,463801,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1035.0,below_gl_4_6_yrs,1030.0
64,SMASS,463813,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1180.0,below_gl_1_3_yrs,1140.0
65,SMASS,463825,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1145.0,below_gl_1_3_yrs,1190.0
66,SMASS,463837,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,840.0,between_6_yrs_fr,865.0
67,SMASS,463849,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1440.0,college_ready,1455.0
68,SMASS,463861,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,950.0,below_gl_4_6_yrs,1070.0
69,SMASS,463873,12.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,770.0,between_6_yrs_fr,810.0
70,SMASS,463885,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1005.0,below_gl_4_6_yrs,910.0
71,SMASS,463897,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1260.0,grade_level,1270.0
72,SMASS,463933,12.0,EL,Free/Reduced,Special Education,Hispanic or Latino,775.0,between_6_yrs_fr,805.0
73,SMASS,463957,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,850.0,between_6_yrs_fr,890.0
74,SMASS,463981,12.0,EL,Free/Reduced,Special Education,Hispanic or Latino,660.0,between_6_yrs_fr,715.0
75,SMASS,463993,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1295.0,grade_level,1315.0
76,SMASS,464005,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1255.0,grade_level,1185.0
77,SMASS,464017,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,940.0,below_gl_4_6_yrs,940.0
78,SMASS,464041,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1405.0,college_ready,1430.0
79,SMASS,464065,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1355.0,college_ready,1355.0
80,SMASS,464077,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1115.0,below_gl_1_3_yrs,1085.0
81,SMASS,464089,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1090.0,below_gl_1_3_yrs,1155.0
82,SMASS,464101,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,935.0,below_gl_4_6_yrs,955.0
83,SMASS,464113,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1005.0,below_gl_4_6_yrs,960.0
84,SMASS,464125,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,810.0,between_6_yrs_fr,810.0
85,SMASS,464149,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1395.0,college_ready,1420.0
86,SMASS,464185,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1015.0,below_gl_4_6_yrs,1075.0
87,SMASS,464209,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1045.0,below_gl_4_6_yrs,1070.0
88,SMASS,464221,12.0,EO,Free/Reduced,Special Education,Hispanic or Latino,645.0,between_6_yrs_fr,725.0
89,SMASS,464233,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1230.0,grade_level,1245.0
90,SMASS,464245,12.0,EO,Free/Reduced,Special Education,Hispanic or Latino,255.0,foundational_reader,265.0
91,SMASS,464257,12.0,RFEP,Free/Reduced,Special Education,Hispanic or Latino,890.0,between_6_yrs_fr,910.0
92,SMASS,464269,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,845.0,between_6_yrs_fr,965.0
93,SMASS,464281,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,995.0,below_gl_4_6_yrs,1035.0
94,SMASS,464305,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1290.0,grade_level,1355.0
95,SMASS,464317,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1065.0,below_gl_1_3_yrs,1045.0
96,SMASS,464329,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1000.0,below_gl_4_6_yrs,980.0
97,SMASS,464341,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1075.0,below_gl_1_3_yrs,1030.0
98,SMASS,464353,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1185.0,grade_level,1255.0
99,SMASS,464365,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,850.0,between_6_yrs_fr,835.0
100,SMASS,464389,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1180.0,below_gl_1_3_yrs,1220.0
101,SMASS,464401,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1040.0,below_gl_4_6_yrs,1075.0
102,SMASS,464425,12.0,EO,Paid,Non-Special Education,Hispanic or Latino,1100.0,below_gl_1_3_yrs,1185.0
103,SMASS,464485,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1075.0,below_gl_1_3_yrs,1065.0
104,SMASS,464497,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,870.0,between_6_yrs_fr,830.0
105,SMASS,464521,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1315.0,college_ready,1360.0
106,SMASS,464533,12.0,RFEP,Free/Reduced,Non-Special Education,White,1170.0,below_gl_1_3_yrs,1180.0
107,SMASS,464545,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1440.0,college_ready,1520.0
108,SMASS,464557,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1335.0,college_ready,1415.0
109,SMASS,464569,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1300.0,college_ready,1360.0
110,SMASS,464581,12.0,EO,Free/Reduced,Special Education,Hispanic or Latino,1150.0,below_gl_1_3_yrs,1190.0
111,SMASS,464593,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,550.0,between_6_yrs_fr,710.0
112,SMASS,464605,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1015.0,below_gl_4_6_yrs,1025.0
113,SMASS,464629,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1075.0,below_gl_1_3_yrs,1195.0
114,SMASS,464641,12.0,EL,Free/Reduced,Special Education,Hispanic or Latino,680.0,between_6_yrs_fr,665.0
115,SMASS,464653,12.0,EO,Paid,Non-Special Education,Black or African American,1305.0,college_ready,1290.0
116,SMASS,464665,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1310.0,college_ready,1325.0
117,SMASS,464677,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1210.0,grade_level,1230.0
118,SMASS,464689,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,740.0,between_6_yrs_fr,815.0
119,SMASS,464701,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,870.0,between_6_yrs_fr,880.0
120,SMASS,464725,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1045.0,below_gl_4_6_yrs,1110.0
121,SMASS,464737,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1410.0,college_ready,1480.0
122,SMASS,464749,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,890.0,between_6_yrs_fr,1005.0
123,SMASS,464761,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1015.0,below_gl_4_6_yrs,1020.0
124,SMASS,464773,12.0,EO,Paid,Non-Special Education,Hispanic or Latino,1130.0,below_gl_1_3_yrs,1180.0
125,SMASS,464797,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1305.0,college_ready,1355.0
126,SMASS,464821,12.0,EO,Free/Reduced,Special Education,Hispanic or Latino,520.0,between_6_yrs_fr,515.0
127,SMIDT,464833,12.0,EO,Paid,Non-Special Education,Hispanic or Latino,1190.0,grade_level,1195.0
128,SMASS,464845,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1105.0,below_gl_1_3_yrs,1125.0
129,SMASS,464857,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,990.0,below_gl_4_6_yrs,995.0
130,SMASS,464869,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1030.0,below_gl_4_6_yrs,1010.0
131,SMASS,464881,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1045.0,below_gl_4_6_yrs,1075.0
132,SMASS,464905,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,755.0,between_6_yrs_fr,835.0
133,GERTZ,193405,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,950.0,below_gl_4_6_yrs,885.0
134,LUSKIN,193777,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1290.0,grade_level,1225.0
135,OUCHI,193897,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1000.0,below_gl_4_6_yrs,990.0
136,OUCHI,193945,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1115.0,below_gl_1_3_yrs,1085.0
137,OUCHI,194029,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1400.0,college_ready,1440.0
138,OUCHI,194233,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1160.0,below_gl_1_3_yrs,1205.0
139,OUCHI,194557,11.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1205.0,grade_level,1260.0
140,OUCHI,194713,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,880.0,between_6_yrs_fr,885.0
141,OUCHI,194749,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1080.0,below_gl_1_3_yrs,1135.0
142,GERTZ,194785,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,975.0,below_gl_4_6_yrs,960.0
143,NEUWIRTH,195109,11.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,765.0,between_6_yrs_fr,825.0
144,OUCHI,195133,11.0,RFEP,Paid,Non-Special Education,Hispanic or Latino,990.0,below_gl_4_6_yrs,1075.0
145,OUCHI,195373,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,970.0,below_gl_1_3_yrs,930.0
146,OUCHI,195385,11.0,EO,Paid,Non-Special Education,Black or African American,985.0,below_gl_4_6_yrs,940.0
147,OUCHI,196045,11.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1300.0,college_ready,1365.0
148,NEUWIRTH,196057,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,985.0,below_gl_4_6_yrs,1035.0
149,OUCHI,196129,11.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1535.0,college_ready,1600.0
150,OUCHI,196285,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1145.0,below_gl_1_3_yrs,1180.0
151,OUCHI,196393,11.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1085.0,below_gl_1_3_yrs,1175.0
152,OUCHI,196645,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,800.0,between_6_yrs_fr,845.0
153,OUCHI,196753,11.0,EO,Free/Reduced,Special Education,Black or African American,820.0,between_6_yrs_fr,800.0
154,OUCHI,196825,11.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,550.0,between_6_yrs_fr,625.0
155,OUCHI,196969,11.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1230.0,grade_level,1225.0
156,OUCHI,197197,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1355.0,college_ready,1355.0
157,OUCHI,197257,11.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,925.0,below_gl_4_6_yrs,1000.0
158,OUCHI,197281,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1000.0,below_gl_4_6_yrs,1010.0
159,OUCHI,197437,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1185.0,grade_level,1220.0
160,SMIDT,197689,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1010.0,below_gl_4_6_yrs,735.0
161,LUSKIN,197725,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,780.0,between_6_yrs_fr,735.0
162,OUCHI,197797,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1455.0,college_ready,1525.0
163,OUCHI,198217,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,880.0,between_6_yrs_fr,950.0
164,OUCHI,198265,11.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1095.0,below_gl_1_3_yrs,1160.0
165,OUCHI,198373,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1125.0,below_gl_1_3_yrs,1065.0
166,OUCHI,198493,11.0,EL,Free/Reduced,Special Education,Hispanic or Latino,730.0,between_6_yrs_fr,795.0
167,OUCHI,198697,10.0,RFEP,Paid,Non-Special Education,Hispanic or Latino,1320.0,college_ready,1335.0
168,OUCHI,198805,11.0,EO,Free/Reduced,Special Education,Black or African American,730.0,between_6_yrs_fr,790.0
169,OUCHI,198961,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,930.0,below_gl_4_6_yrs,910.0
170,OUCHI,198997,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,980.0,below_gl_4_6_yrs,995.0
171,OUCHI,199273,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1235.0,grade_level,1225.0
172,OUCHI,199441,11.0,EL,Free/Reduced,Special Education,Hispanic or Latino,325.0,foundational_reader,370.0
173,OUCHI,199633,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1140.0,below_gl_1_3_yrs,1170.0
174,OUCHI,199681,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1110.0,below_gl_1_3_yrs,1180.0
175,OUCHI,199693,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,910.0,between_6_yrs_fr,885.0
176,OUCHI,199777,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1130.0,below_gl_1_3_yrs,1165.0
177,OUCHI,200101,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,855.0,between_6_yrs_fr,845.0
178,OUCHI,200149,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,670.0,between_6_yrs_fr,745.0
179,OUCHI,200161,11.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,730.0,between_6_yrs_fr,755.0
180,OUCHI,200761,11.0,EO,Free/Reduced,Non-Special Education,Black or African American,1185.0,grade_level,1135.0
181,OUCHI,201037,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,875.0,below_gl_4_6_yrs,860.0
182,NEUWIRTH,201661,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1105.0,below_gl_1_3_yrs,1125.0
183,OUCHI,201793,11.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,990.0,below_gl_4_6_yrs,1015.0
184,OUCHI,202117,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,925.0,below_gl_4_6_yrs,970.0
185,OUCHI,202297,11.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1265.0,grade_level,1345.0
186,OUCHI,202489,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1150.0,below_gl_1_3_yrs,1270.0
187,OUCHI,202861,11.0,EO,Free/Reduced,Special Education,Black or African American,1140.0,below_gl_1_3_yrs,1090.0
188,LUSKIN,203521,11.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,990.0,below_gl_4_6_yrs,1045.0
189,OUCHI,204121,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1005.0,below_gl_4_6_yrs,1000.0
190,OUCHI,204145,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1080.0,below_gl_1_3_yrs,1145.0
191,OUCHI,204349,11.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1040.0,below_gl_4_6_yrs,1190.0
192,OUCHI,204469,11.0,EO,Paid,Non-Special Education,Hispanic or Latino,1005.0,below_gl_4_6_yrs,1105.0
193,OUCHI,204601,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1000.0,below_gl_4_6_yrs,1015.0
194,OUCHI,204613,11.0,EL,Free/Reduced,Special Education,Hispanic or Latino,835.0,between_6_yrs_fr,835.0
195,NEUWIRTH,204829,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1240.0,grade_level,1280.0
196,OUCHI,205045,11.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,705.0,between_6_yrs_fr,<built-in function zeros>
197,OUCHI,205489,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1120.0,below_gl_1_3_yrs,1235.0
198,OUCHI,205633,11.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,775.0,between_6_yrs_fr,690.0
199,OUCHI,205717,11.0,EO,Paid,Non-Special Education,Black or African American,1150.0,below_gl_1_3_yrs,1175.0
200,OUCHI,205741,11.0,EL,Free/Reduced,Special Education,Hispanic or Latino,565.0,between_6_yrs_fr,475.0
201,OUCHI,206041,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1090.0,below_gl_1_3_yrs,1100.0
202,OUCHI,206185,11.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1220.0,grade_level,1315.0
203,OUCHI,206809,11.0,EO,Free/Reduced,Special Education,Black or African American,1165.0,below_gl_1_3_yrs,1140.0
204,OUCHI,206845,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1150.0,below_gl_1_3_yrs,1130.0
205,OUCHI,206929,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1210.0,grade_level,1275.0
206,OUCHI,206953,11.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1080.0,below_gl_1_3_yrs,990.0
207,OUCHI,207157,11.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,975.0,below_gl_4_6_yrs,1055.0
208,OUCHI,207181,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,945.0,below_gl_4_6_yrs,920.0
209,OUCHI,207193,11.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,815.0,between_6_yrs_fr,795.0
210,OUCHI,207373,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,905.0,between_6_yrs_fr,935.0
211,OUCHI,207409,11.0,EO,Free/Reduced,Special Education,Black or African American,830.0,between_6_yrs_fr,855.0
212,GERTZ,207481,11.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1295.0,grade_level,1285.0
213,OUCHI,207505,11.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,990.0,below_gl_4_6_yrs,1125.0
214,OUCHI,207517,11.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1305.0,college_ready,1295.0
215,OUCHI,207553,11.0,RFEP,Free/Reduced,Special Education,Hispanic or Latino,1035.0,below_gl_4_6_yrs,1100.0
