,schoolshort,studentid,gradelevelduringadminyear,ell,lunch_recode,sped_recode,ethnicity_recode,pre_score,lexilelevel,interim_score
4980,BLOOMFIELD,683773,10.0,EL,Free/Reduced,Special Education,Hispanic or Latino,555.0,between_6_yrs_fr,520.0
4981,BLOOMFIELD,683785,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,920.0,below_gl_4_6_yrs,930.0
4982,BLOOMFIELD,683797,10.0,RFEP,Free/Reduced,Special Education,Hispanic or Latino,790.0,between_6_yrs_fr,860.0
4983,BLOOMFIELD,683809,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,790.0,between_6_yrs_fr,665.0
4984,BLOOMFIELD,683869,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1015.0,below_gl_1_3_yrs,1005.0
4985,BLOOMFIELD,683881,10.0,RFEP,Free/Reduced,Special Education,Hispanic or Latino,1160.0,grade_level,1135.0
4986,BLOOMFIELD,683893,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,910.0,below_gl_4_6_yrs,885.0
4987,BLOOMFIELD,683905,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,875.0,below_gl_4_6_yrs,960.0
4988,CRMA5,683929,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,880.0,below_gl_1_3_yrs,925.0
4989,CRMA5,683953,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,705.0,below_gl_4_6_yrs,785.0
4990,CRMA5,683965,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,780.0,below_gl_4_6_yrs,795.0
4991,CRMA5,683977,7.0,RFEP,Free/Reduced,Special Education,Hispanic or Latino,900.0,below_gl_1_3_yrs,890.0
4992,CRMA5,683989,7.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,590.0,between_6_yrs_fr,640.0
4993,CRMA5,684001,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,955.0,below_gl_1_3_yrs,1040.0
4994,CRMA5,684025,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,945.0,below_gl_1_3_yrs,995.0
4995,CRMA5,684049,7.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,580.0,between_6_yrs_fr,<built-in function zeros>
4996,CRMA5,684061,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,765.0,below_gl_4_6_yrs,865.0
